,coef,std err,t,P>|t|,[0.025,0.975]
const, 4.159e+04, 5.24e+05,    0.079, 0.937,-1.03e+06, 1.12e+06
crd_daly_rate.L1,    1.0000,        0,      nan,   nan,    1.000,    1.000
household_pm.L1, -317.1208, 3917.764,   -0.081, 0.935,-8355.708, 7721.467
trend.L1,-2490.6592, 3.12e+04,   -0.080, 0.936,-6.65e+04, 6.15e+04
