variable,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
const,-258.5691405268878,97.53732049650739,-2.6509764591713036,0.013262482333094438,-458.6991912173396,-58.43908983643598
crd_daly_rate.L1,-0.006217428762572695,0.07938583292548229,-0.07831912236039466,0.9381517602857,-0.1691037033352826,0.1566688458101372
household_pm.L1,1.9716759283099754,0.9999661441059365,1.9717426834213858,0.05896504889537769,-0.08008512161370707,4.023436978233658
trend.L1,15.485496450105384,6.347338584321361,2.4396833797957935,0.021549032480751698,2.461833444362048,28.509159455848717
D.household_pm.L0,9.614306811767374,4.038712605110654,2.3805375008861165,0.024606318097732612,1.3275530413077448,17.901060582227004
D.trend.L0,-258.56914052688626,97.53732049650681,-2.6509764591713036,0.013262482333094438,-458.6991912173369,-58.43908983643564
