variable,coefficient,std_error,t_value,p_value
const,115.37548680044824,25.15042402698478,4.587417161502239,0.00013016283010847067
d_household_pm_lag0,6.70179578652381,11.838178164561809,0.5661171586846006,0.5767966675614156
d_household_pm_lag1,22.654478369904304,20.866726320548146,1.0856747734116634,0.28887143772269597
d_household_pm_lag2,-19.25640366458035,12.034557270611682,-1.6000924031999395,0.12322577958159593
trend,-4.310734167003741,0.9537442679601508,-4.5198008646735595,0.00015407002354447398
