model,n_forecasts,mean_error,mae,rmse,mape_percent,directional_accuracy_percent,mean_n_selected
elastic_net,28,-0.8378501785320681,24.72693361922102,30.52903735681695,483.4503844030693,82.14285714285714,3.9642857142857144
random_forest,28,-1.8717698608866022,26.22625986679328,32.27312471344158,365.206014458051,89.28571428571429,8.0
vif_filtering,28,-4.740258406318559,31.84287496694517,40.98187380285563,566.7319255894289,75.0,11.035714285714286
backward_elimination,28,-5.730083476362692,32.593389331759646,49.50187856591479,189.88422245388065,85.71428571428571,9.428571428571429
