step,cusum,lower_5pct,upper_5pct
0,-0.06749402683400864,-4.446514140312611,4.446514140312611
1,0.018181575051928592,-4.850742698522848,4.850742698522848
2,-0.7232071781938688,-5.254971256733086,5.254971256733086
3,-1.6915048759479423,-5.659199814943323,5.659199814943323
4,-2.2345326299747192,-6.0634283731535605,6.0634283731535605
5,-2.9591714058886445,-6.467656931363798,6.467656931363798
6,-5.209858760295086,-6.871885489574035,6.871885489574035
7,-7.677444474213203,-7.276114047784272,7.276114047784272
8,-6.907091249473914,-7.680342605994509,7.680342605994509
9,-7.835662016508352,-8.084571164204746,8.084571164204746
10,-9.56754104028341,-8.488799722414985,8.488799722414985
11,-10.844505654029403,-8.893028280625222,8.893028280625222
12,-13.299227098221436,-9.297256838835459,9.297256838835459
13,-15.658635890524135,-9.701485397045698,9.701485397045698
14,-16.919983498793986,-10.105713955255933,10.105713955255933
15,-17.413314252183067,-10.509942513466171,10.509942513466171
16,-17.40658059965591,-10.914171071676408,10.914171071676408
17,-16.74667584110999,-11.318399629886645,11.318399629886645
18,-16.415083362520228,-11.722628188096884,11.722628188096884
19,-16.421540409741525,-12.126856746307121,12.126856746307121
20,-16.52309076226005,-12.531085304517358,12.531085304517358
21,-18.013928760193817,-12.935313862727593,12.935313862727593
